LOC,VAR,N,mean,sd,se,ci,variable
Chile,Regalona,3,2402.33333333333,465.287366402026,268.633786242742,1155.83789368027,RENDIM.KG/HA
Chile,Salcedo,3,2743.33333333333,80.1332224070225,46.2649375277266,199.061959745361,RENDIM.KG/HA
Chile,Titicaca,3,4300.33333333333,1841.58799228637,1063.24132308292,4574.75818114514,RENDIM.KG/HA
España,Regalona,5,2606,0,0,0,RENDIM.KG/HA
España,Salcedo,5,NA,NA,NA,NA,RENDIM.KG/HA
España,Titicaca,5,1526,0,0,0,RENDIM.KG/HA
Chile,Regalona,3,70,0,0,0,FLOR
Chile,Salcedo,3,100,0,0,0,FLOR
Chile,Titicaca,3,50,0,0,0,FLOR
España,Regalona,5,63,0,0,0,FLOR
España,Salcedo,5,92,0,0,0,FLOR
España,Titicaca,5,51,0,0,0,FLOR
Chile,Regalona,3,165,0,0,0,MADUREZ
Chile,Salcedo,3,180,0,0,0,MADUREZ
Chile,Titicaca,3,105,0,0,0,MADUREZ
España,Regalona,5,138,0,0,0,MADUREZ
España,Salcedo,5,187,0,0,0,MADUREZ
España,Titicaca,5,119,0,0,0,MADUREZ
Chile,Regalona,3,1.3,0.0556776436283,0.032145502536643,0.138310934238456,ALTURA
Chile,Salcedo,3,0.84,0.085440037453175,0.049328828623163,0.212244819130793,ALTURA
Chile,Titicaca,3,1.04,0.087177978870813,0.050332229568472,0.216562104947161,ALTURA
España,Regalona,5,1.246,0.051283525619832,0.022934689882359,0.063676907463106,ALTURA
España,Salcedo,5,1.362,0.059749476985159,0.026720778431775,0.074188774483976,ALTURA
España,Titicaca,5,1.152,0.031144823004795,0.013928388277184,0.038671405455482,ALTURA
Chile,Regalona,3,15.3333333333333,1.52752523165195,0.881917103688197,3.79458303359676,DIAMETRO
Chile,Salcedo,3,11.3333333333333,1.52752523165195,0.881917103688197,3.79458303359676,DIAMETRO
Chile,Titicaca,3,12,1,0.577350269189626,2.48413771175033,DIAMETRO
España,Regalona,5,14.8,2.28035085019828,1.01980390271856,2.83142955396454,DIAMETRO
España,Salcedo,5,16.8,2.77488738510232,1.24096736459909,3.44547776515134,DIAMETRO
España,Titicaca,5,12.2,1.30384048104053,0.58309518948453,1.6189317847087,DIAMETRO
Chile,Regalona,3,17,1,0.577350269189626,2.48413771175033,LONG.PANOJA
Chile,Salcedo,3,31.6666666666667,3.51188458428425,2.02758751009941,8.72400493513513,LONG.PANOJA
Chile,Titicaca,3,22.3333333333333,2.08166599946613,1.20185042515466,5.17114501254226,LONG.PANOJA
España,Regalona,5,20,2.54950975679639,1.14017542509914,3.16563447808331,LONG.PANOJA
España,Salcedo,5,36,2.54950975679639,1.14017542509914,3.16563447808331,LONG.PANOJA
España,Titicaca,5,28,2.34520787991171,1.04880884817015,2.91196019279015,LONG.PANOJA
Chile,Regalona,3,11,1,0.577350269189626,2.48413771175033,DIAM.PANOJA
Chile,Salcedo,3,7,0,0,0,DIAM.PANOJA
Chile,Titicaca,3,7,0,0,0,DIAM.PANOJA
España,Regalona,5,12,1.58113883008419,0.707106781186548,1.96324316147756,DIAM.PANOJA
España,Salcedo,5,9,1,0.447213595499958,1.24166399820376,DIAM.PANOJA
España,Titicaca,5,7,1,0.447213595499958,1.24166399820376,DIAM.PANOJA
Chile,Regalona,3,103,18.0831413200251,10.4403065089106,44.9210132999851,PESO.PLANTA
Chile,Salcedo,3,78,2.64575131106459,1.52752523165195,6.57241060772843,PESO.PLANTA
Chile,Titicaca,3,86,19.313207915828,11.1504857891185,47.9766681185832,PESO.PLANTA
España,Regalona,5,107.8,15.0565600320923,6.73349834781297,18.6951885286427,PESO.PLANTA
España,Salcedo,5,NA,NA,NA,NA,PESO.PLANTA
España,Titicaca,5,89.6,7.66811580507233,3.42928563989645,9.52122332921558,PESO.PLANTA
Chile,Regalona,3,40.3333333333333,13.7961347243833,7.96520209689901,34.2714985452287,PESO.GRANO/PLANTA
Chile,Salcedo,3,36.6666666666667,7.02376916856849,4.05517502019881,17.4480098702703,PESO.GRANO/PLANTA
Chile,Titicaca,3,42.6666666666667,9.71253485622231,5.60753461375357,24.1272741130314,PESO.GRANO/PLANTA
España,Regalona,5,50.6,9.58123165360279,4.28485705712571,11.8966704027289,PESO.GRANO/PLANTA
España,Salcedo,5,NA,NA,NA,NA,PESO.GRANO/PLANTA
España,Titicaca,5,37.2,4.65832587954085,2.08326666559997,5.78407553652675,PESO.GRANO/PLANTA
Chile,Regalona,3,0.416666666666667,0.22300971578237,0.128754719438853,0.553986845061708,INDICE.COSECHA
Chile,Salcedo,3,0.47,0.088881944173156,0.051316014394469,0.220794989414224,INDICE.COSECHA
Chile,Titicaca,3,0.5,0,0,0,INDICE.COSECHA
España,Regalona,5,0.468,0.037682887362834,0.016852299546353,0.046789484586798,INDICE.COSECHA
España,Salcedo,5,NA,NA,NA,NA,INDICE.COSECHA
España,Titicaca,5,0.416,0.027018512172213,0.012083045973595,0.033547913849267,INDICE.COSECHA
