SAMPLE,VAR,LOC,VARLOC,N.SAMPLEWEIGHT,GASTO.H2SO4 0.100 N,PROT.PERCENT,PESO.MUESTRA.FRAP,ABS,CURVA,uM ET/g ,uM ET/100 g,mmol ET/ 100 g 
1.1,Salcedo,Spain,Salcedo-Spain,"0,5007","9,2","16,0775","0,9993","0,370","307,9","308,1","30811,57","0,31"
1.2,Salcedo,Spain,Salcedo-Spain,"0,5082","8,4","14,4628","0,9993","0,359","296,9","297,1","29710,80","0,30"
2.1,Regalona,Chile,Regalona-Chile,"0,5065","10,9","18,8302","1,0071","0,901","838,9","833,0","83298,58","0,83"
2.2,Regalona,Chile,Regalona-Chile,"0,5062","10,0","17,2857","1,0071","0,818","755,9","750,6","75057,09","0,75"
3.1,Salcedo,Chile,Salcedo-Chile,"0,4976","9,7","17,0569","0,5066","0,307","244,9","483,4","48341,89","0,48"
3.2,Salcedo,Chile,Salcedo-Chile,"0,5023","9,0","15,6779","0,5066","0,278","215,9","426,2","42617,45","0,43"
4.1,Salcedo,Peru,Salcedo-Peru,"0,5093","8,4","14,4316","1,0118","0,255","192,9","190,7","19065,03","0,19"
4.2,Salcedo,Peru,Salcedo-Peru,"0,5085","8,6","14,7984","1,0118","0,235","172,9","170,9","17088,36","0,17"
5.1,Regalona,Spain,Regalona-Spain,"0,5066","9,0","15,5448","1,0115","0,370","307,9","304,4","30439,94","0,30"
5.2,Regalona,Spain,Regalona-Spain,"0,5085","9,2","15,8309","1,0115","0,358","295,9","292,5","29253,58","0,29"
6.1,Titicaca,Spain,Titicaca-Spain,"0,5045","8,7","15,0892","1,0054","0,774","711,9","708,1","70807,64","0,71"
6.2,Titicaca,Spain,Titicaca-Spain,"0,5024","8,8","15,3264","1,0054","0,678","615,9","612,6","61259,20","0,61"
7.1,Titicaca,Chile,Titicaca-Chile,"0,5099","10,3","17,6750","1,0065","0,908","845,9","840,4","84043,72","0,84"
7.2,Titicaca,Chile,Titicaca-Chile,"0,5091","10,4","17,8747","1,0065","0,799","736,9","732,1","73214,11","0,73"
