VAR,LOC,VARLOC,Individuo,Rendimiento (kg/ha),Días a floración,Días a madurez,Altura planta (m),Diámetro tallo (mm),Longitud panoja (cm),Diámetro panoja (cm),Peso planta (g),Peso grano por planta (g),Índice de Cosecha,N° Panojas por metro lineal,N° Panojas,Peso por metro lineal
Salcedo,España,Salcedo-España,SCD1, (*) ,92,187,1.28,13,35,8, (*) , (*) , (*) ,,,
Salcedo,España,Salcedo-España,SCD2, (*) ,92,187,1.34,16,34,8, (*) , (*) , (*) ,,,
Salcedo,España,Salcedo-España,SCD3, (*) ,92,187,1.43,20,37,10, (*) , (*) , (*) ,,,
Salcedo,España,Salcedo-España,SCD4, (*) ,92,187,1.41,19,40,10, (*) , (*) , (*) ,,,
Salcedo,España,Salcedo-España,SCD5, (*) ,92,187,1.35,16,34,9, (*) , (*) , (*) ,,,
Titicaca,España,Titicaca-España,TIC1,1526,51,119,1.18,13,32,8,98,41,0.42,,,
Titicaca,España,Titicaca-España,TIC2,1526,51,119,1.14,12,27,7,90,38,0.42,,,
Titicaca,España,Titicaca-España,TIC3,1526,51,119,1.19,14,28,8,96,42,0.44,,,
Titicaca,España,Titicaca-España,TIC4,1526,51,119,1.12,11,27,6,84,31,0.37,,,
Titicaca,España,Titicaca-España,TIC5,1526,51,119,1.13,11,26,6,80,34,0.43,,,
Regalona,España,Regalona-España,REG1,2606,63,138,1.19,12,17,10,89,38,0.43,,,
Regalona,España,Regalona-España,REG2,2606,63,138,1.21,14,20,14,117,62,0.53,,,
Regalona,España,Regalona-España,REG3,2606,63,138,1.32,18,24,13,128,58,0.45,,,
Regalona,España,Regalona-España,REG4,2606,63,138,1.27,16,20,12,101,46,0.46,,,
Regalona,España,Regalona-España,REG5,2606,63,138,1.24,14,19,11,104,49,0.47,,,
Salcedo,Chile,Salcedo-Chile,3,2714,100,180,0.85,10,35,7,77,44,0.571428571428572,7,2,308
Salcedo,Chile,Salcedo-Chile,3,2682,100,180,0.75,11,32,7,76,30,0.4,10,3,305
Salcedo,Chile,Salcedo-Chile,3,2834,100,180,0.92,13,28,7,81,36,0.444444444444445,9,2,322
Titicaca,Chile,Titicaca-Chile,7,2270,50,105,1,13,23,7,65,32,0.5,8,2,258
Titicaca,Chile,Titicaca-Chile,7,5863,50,105,1.14,11,20,7,103,51,0.5,13,2,666
Titicaca,Chile,Titicaca-Chile,7,4768,50,105,0.98,12,24,7,90,45,0.5,12,2,542
Regalona,Chile,Regalona-Chile,9,2939,70,165,1.25,17,18,11,84,56,0.666666666666667,6,2,334
Regalona,Chile,Regalona-Chile,9,2156,70,165,1.29,14,17,10,105,35,0.333333333333333,7,3,245
Regalona,Chile,Regalona-Chile,9,2112,70,165,1.36,15,16,12,120,30,0.25,8,4,240
Salcedo,Peru,Salcedo-Peru,SCD1,5160,66,146,1.342,19,34,16,65,26,0.4,,,
Salcedo,Peru,Salcedo-Peru,SCD2,5320,65,145,1.372,18,35,15,67,27,0.4,,,
Salcedo,Peru,Salcedo-Peru,SCD3,4980,67,144,1.361,18,37,15,63,25,0.4,,,
Salcedo,Peru,Salcedo-Peru,SCD4,5220,62,145,1.373,18,36,16.4,69,27.6,0.4,,,
