VAR,LOC,VARLOC,ID,"Fitato.Perc
"
Salcedo,Spain,Salcedo-Spain,2,0.37
Salcedo,Spain,Salcedo-Spain,3,0.26
Salcedo,Spain,Salcedo-Spain,4,0.32
Regalona,Spain,Regalona-Spain,1,0.39
Regalona,Spain,Regalona-Spain,3,0.38
Regalona,Spain,Regalona-Spain,4,0.43
Titicaca,Spain,Titicaca-Spain,1,0.45
Titicaca,Spain,Titicaca-Spain,2,0.34
Titicaca,Spain,Titicaca-Spain,3,0.24
Titicaca,Spain,Titicaca-Spain,4,0.28
Salcedo,Chile,Salcedo-Chile,1,0.31
Salcedo,Chile,Salcedo-Chile,2,0.3
Salcedo,Chile,Salcedo-Chile,3,0.19
Salcedo,Chile,Salcedo-Chile,4,0.29
Regalona,Chile,Regalona-Chile,2,0.24
Regalona,Chile,Regalona-Chile,3,0.18
Regalona,Chile,Regalona-Chile,4,0.29
Titicaca,Chile,Titicaca-Chile,3,0.18
Titicaca,Chile,Titicaca-Chile,4,0.22
Salcedo,Peru,Salcedo-Peru,1,0.2
Salcedo,Peru,Salcedo-Peru,2,0.21
Salcedo,Peru,Salcedo-Peru,3,0.22
Salcedo,Peru,Salcedo-Peru,4,0.33
